datetime (YYYY-MM-DD hh:mm:ss),configuration,cell A lights (Wh/sqft),cell B lights (Wh/sqft)
2019-08-10 00:00:00,Core-S,0.017412267592592588,0.005302749525462963
2019-08-10 01:00:00,Core-S,0.01751418433981481,0.00529912784212963
2019-08-10 02:00:00,Core-S,0.017544371467592593,0.005298159172453703
2019-08-10 03:00:00,Core-S,0.017542413421064818,0.005300061961574075
2019-08-10 04:00:00,Core-S,0.017537765549999997,0.005300268032638889
2019-08-10 05:00:00,Core-S,0.017473402680555552,0.0053044301861111115
2019-08-10 06:00:00,Core-S,0.8985135561976851,0.005294411296990741
2019-08-10 07:00:00,Core-S,0.8999174069372684,0.04452703596226852
2019-08-10 08:00:00,Core-S,0.8986468913875,0.22909048810254629
2019-08-10 09:00:00,Core-S,0.8989958989370371,0.2952065569462963
2019-08-10 10:00:00,Core-S,0.9007602871812501,0.21705808272013888
2019-08-10 11:00:00,Core-S,0.8976976586868055,0.15861081676087965
2019-08-10 12:00:00,Core-S,0.8971647111291665,0.14512309581296298
2019-08-10 13:00:00,Core-S,0.9030845816597222,0.18842309366874996
2019-08-10 14:00:00,Core-S,0.9051538885983796,0.18859059341527776
2019-08-10 15:00:00,Core-S,0.9036139982791666,0.21270939506805556
2019-08-10 16:00:00,Core-S,0.9034373155747685,0.21996390869351853
2019-08-10 17:00:00,Core-S,0.8987796873219907,0.25441262851481483
2019-08-10 18:00:00,Core-S,0.8977426784914352,0.14430298044861106
2019-08-10 19:00:00,Core-S,0.8931079300393517,0.005293112338657408
2019-08-10 20:00:00,Core-S,0.021378267091203707,0.005295167642129631
2019-08-10 21:00:00,Core-S,0.01737428691875,0.005301446707175927
2019-08-10 22:00:00,Core-S,0.01748519692939815,0.005301253328240742
2019-08-10 23:00:00,Core-S,0.017501214984722225,0.005302598828240741
2019-08-11 00:00:00,Core-S,0.017518789715277778,0.005293257333564814
2019-08-11 01:00:00,Core-S,0.01754723830208333,0.005293580497916667
2019-08-11 02:00:00,Core-S,0.017497889060416664,0.005291498436574075
