datetime (YYYY-MM-DD hh:mm:ss),configuration,outdoor air temperature (C),cell A heating (Wh/sqft),cell A cooling (Wh/sqft),cell B heating (Wh/sqft),cell B cooling (Wh/sqft)
2019-08-10 00:00:00,Core-S,16.375773547777776,0.034489113628158694,0.00030783385002536713,0.10316919843119013,
2019-08-10 01:00:00,Core-S,16.413934712361108,0.059498094279600636,,0.10384656594444518,
2019-08-10 02:00:00,Core-S,16.181019105555556,0.08164093350761727,,0.10427247898016663,
2019-08-10 03:00:00,Core-S,15.803744683333333,0.08443023985295595,,0.10456873442025932,
2019-08-10 04:00:00,Core-S,15.63903132261662,0.09275805501001891,,0.10467470510811669,
2019-08-10 05:00:00,Core-S,15.760441763888885,0.09018201906865926,,0.10473302599557778,
2019-08-10 06:00:00,Core-S,16.02987859069444,0.07254153983565835,,0.10481078425903893,
2019-08-10 07:00:00,Core-S,15.926649397916668,0.0015598297779205249,1.9770310805704447,0.10516704046207212,
2019-08-10 08:00:00,Core-S,16.074933632916668,,1.8149998452721674,0.10725944116272948,
2019-08-10 09:00:00,Core-S,17.239587191111113,,2.6160387086272303,0.12118541829611779,
2019-08-10 10:00:00,Core-S,18.85938025944444,,3.3868049660074253,0.20279147417698043,
2019-08-10 11:00:00,Core-S,19.438699196666665,,3.2123429114847353,,3.379604956464968
2019-08-10 12:00:00,Core-S,19.591784360972227,,3.5639068247469057,,1.6440525174106715
2019-08-10 13:00:00,Core-S,19.573014711527776,,4.308608513429557,,0.337366824148294
2019-08-10 14:00:00,Core-S,19.94474458652778,,4.461642474971087,,2.748087083226208
2019-08-10 15:00:00,Core-S,20.948923987500002,,4.145159436459049,,2.4675351686812004
2019-08-10 16:00:00,Core-S,19.71984462861111,,2.3736927055713704,,1.7368037689545832
2019-08-10 17:00:00,Core-S,18.096992137638885,,4.010202230052443,,1.0110457643986108
2019-08-10 18:00:00,Core-S,17.26363637805555,,3.630624262262635,0.0068203432500924775,0.43624179949146924
2019-08-10 19:00:00,Core-S,16.426654559166668,0.0004125089181943426,1.1644565631976476,0.09373347938142769,
2019-08-10 20:00:00,Core-S,15.93149494222222,,0.6490151185837132,0.09672259158440387,
2019-08-10 21:00:00,Core-S,15.182863452043007,,0.34678787786260473,0.09885786275563936,
2019-08-10 22:00:00,Core-S,14.720213194444447,,0.17979661762894306,0.10053464430627462,
2019-08-10 23:00:00,Core-S,14.673149694444447,,0.08034508859267156,0.10179941148470523,
2019-08-11 00:00:00,Core-S,14.564098694444445,,,,
2019-08-11 01:00:00,Core-S,14.61194491666667,,,,
2019-08-11 02:00:00,Core-S,14.692522930555556,,,,
2019-08-11 03:00:00,Core-S,14.560253291666665,,,,
2019-08-11 04:00:00,Core-S,14.258809972222224,,,,
2019-08-11 05:00:00,Core-S,14.364499861111117,,,,
2019-08-11 06:00:00,Core-S,14.077116680555557,,,,
2019-08-11 07:00:00,Core-S,14.389669180555554,,,,
2019-08-11 08:00:00,Core-S,15.536973723750002,,,,
2019-08-11 09:00:00,Core-S,17.853018410833336,,,,
2019-08-11 10:00:00,Core-S,19.537874107638892,,,,
2019-08-11 11:00:00,Core-S,21.166737394861105,,,,
2019-08-11 12:00:00,Core-S,22.629140569861114,,,,
2019-08-11 13:00:00,Core-S,23.295621303333338,,,,
2019-08-11 14:00:00,Core-S,22.999024805809483,,,,
2019-08-11 15:00:00,Core-S,23.350876365972223,,,,
2019-08-11 16:00:00,Core-S,22.188633264583334,,,,
2019-08-11 17:00:00,Core-S,23.41838009652778,,,,
2019-08-11 18:00:00,Core-S,23.758450436805557,,,,
2019-08-11 19:00:00,Core-S,22.204706321527777,,,,
2019-08-11 20:00:00,Core-S,21.47486362513889,,,,
2019-08-11 21:00:00,Core-S,20.382263686111116,,,,
2019-08-11 22:00:00,Core-S,18.570319622361115,,,,
2019-08-11 23:00:00,Core-S,17.647842524444446,,,,
2019-08-12 00:00:00,Core-S,18.075071798055557,,,,
2019-08-12 01:00:00,Core-S,17.797981625555558,,,,
2019-08-12 02:00:00,Core-S,16.493585360972226,,,,
2019-08-12 03:00:00,Core-S,17.023302717916668,,,,
2019-08-12 04:00:00,Core-S,17.642299831527776,,,,
2019-08-12 05:00:00,Core-S,17.208483053055556,,,,
2019-08-12 06:00:00,Core-S,16.69981580783601,,,,
2019-08-12 07:00:00,Core-S,16.561996154027778,,,,
2019-08-12 08:00:00,Core-S,18.102816717638884,,,,
2019-08-12 09:00:00,Core-S,20.42515001138889,,,,
2019-08-12 10:00:00,Core-S,21.892258711111108,,,,
2019-08-12 11:00:00,Core-S,23.452835125972218,,,,
2019-08-12 12:00:00,Core-S,24.603694070277776,,,,
2019-08-12 13:00:00,Core-S,25.773960343333336,,,,
2019-08-12 14:00:00,Core-S,24.780047850138885,,,,
2019-08-12 15:00:00,Core-S,23.603287241527774,,,,
2019-08-12 16:00:00,Core-S,25.49561064305556,,,,
2019-08-12 17:00:00,Core-S,25.45902291583333,,,,
2019-08-12 18:00:00,Core-S,22.581256600972214,,,,
2019-08-12 19:00:00,Core-S,20.302819552777784,,,,
2019-08-12 20:00:00,Core-S,19.64916366847222,,,,
2019-08-12 21:00:00,Core-S,18.6916813475,,,,
2019-08-12 22:00:00,Core-S,17.293168268333336,,,,
2019-08-12 23:00:00,Core-S,17.801022599650754,,,,
2019-08-13 00:00:00,Core-S,16.406562550277776,,,,
2019-08-13 01:00:00,Core-S,16.93671665236111,,,,
2019-08-13 02:00:00,Core-S,18.02200937,,,,
2019-08-13 03:00:00,Core-S,17.692760954722225,,,,
2019-08-13 04:00:00,Core-S,17.63141036277778,,,,
2019-08-13 05:00:00,Core-S,16.352825723194442,,,,
2019-08-13 06:00:00,Core-S,16.179934016805557,,,,
2019-08-13 07:00:00,Core-S,18.569849386527775,,,,
2019-08-13 08:00:00,Core-S,18.73216684111111,,,,
2019-08-13 09:00:00,Core-S,20.349301935000003,,,,
2019-08-13 10:00:00,Core-S,21.923342574861113,,,,
2019-08-13 11:00:00,Core-S,23.747836467500004,,,,
2019-08-13 12:00:00,Core-S,24.44154721333333,,,,
2019-08-13 13:00:00,Core-S,24.193669281388893,,,,
2019-08-13 14:00:00,Core-S,24.82594922083333,,,,
2019-08-13 15:00:00,Core-S,25.27581383652778,,,,
2019-08-13 16:00:00,Core-S,24.794627502191002,,,,
2019-08-13 17:00:00,Core-S,24.591082821944443,,,,
2019-08-13 18:00:00,Core-S,25.909288436388888,,,,
2019-08-13 19:00:00,Core-S,25.668338944861112,,,,
2019-08-13 20:00:00,Core-S,24.469110124444445,,,,
2019-08-13 21:00:00,Core-S,23.245956402222216,,,,
2019-08-13 22:00:00,Core-S,22.51197050305556,,,,
2019-08-13 23:00:00,Core-S,22.428174650138892,,,,
2019-08-14 00:00:00,Core-S,20.71974590305555,,,,
2019-08-14 01:00:00,Core-S,22.22896353875,,,,
2019-08-14 02:00:00,Core-S,22.1186022001389,,,,
2019-08-14 03:00:00,Core-S,22.986806625138886,,,,
2019-08-14 04:00:00,Core-S,23.180820481527782,,,,
2019-08-14 05:00:00,Core-S,22.018618278055555,,,,
2019-08-14 06:00:00,Core-S,22.587272029861115,,,,
2019-08-14 07:00:00,Core-S,21.575536446944447,,,,
2019-08-14 08:00:00,Core-S,21.861972533194134,,,,
2019-08-14 09:00:00,Core-S,23.295108630972223,,,,
2019-08-14 10:00:00,Core-S,25.02115850722223,,,,
2019-08-14 11:00:00,Core-S,27.508413294583338,,,,
2019-08-14 12:00:00,Core-S,29.08750086499999,,,,
2019-08-14 13:00:00,Core-S,30.35087630555556,,,,
2019-08-14 14:00:00,Core-S,30.42591292986111,,,,
2019-08-14 15:00:00,Core-S,30.33193355333334,,,,
2019-08-14 16:00:00,Core-S,29.3184794425,,,,
2019-08-14 17:00:00,Core-S,29.370418060972224,,,,
2019-08-14 18:00:00,Core-S,28.970670956805552,,,,
2019-08-14 19:00:00,Core-S,28.22578876416667,,,,
2019-08-14 20:00:00,Core-S,28.728227799027778,,,,
2019-08-14 21:00:00,Core-S,29.223594599027784,,,,
2019-08-14 22:00:00,Core-S,27.998614271944444,,,,
2019-08-14 23:00:00,Core-S,25.368916039166674,,,,
2019-08-15 00:00:00,Core-S,25.03547361916666,,,,
2019-08-15 01:00:00,Core-S,25.467585491287316,,,,
2019-08-15 02:00:00,Core-S,26.161168766249993,,,,
2019-08-15 03:00:00,Core-S,24.439920543749995,,,,
2019-08-15 04:00:00,Core-S,26.308923422777784,,,,
2019-08-15 05:00:00,Core-S,24.539352665694445,,,,
2019-08-15 06:00:00,Core-S,23.605179092361105,,,,
2019-08-15 07:00:00,Core-S,24.681035388333335,,,,
2019-08-15 08:00:00,Core-S,25.207070522499997,,,,
2019-08-15 09:00:00,Core-S,25.593620193611113,,,,
2019-08-15 10:00:00,Core-S,26.943286920138895,,,,
2019-08-15 11:00:00,Core-S,27.591335366944445,,,,
2019-08-15 12:00:00,Core-S,28.28104145722222,,,,
2019-08-15 13:00:00,Core-S,29.184658899722226,,,,
2019-08-15 14:00:00,Core-S,29.465089025694446,,,,
2019-08-15 15:00:00,Core-S,29.069563337499996,,,,
2019-08-15 16:00:00,Core-S,27.552405281666662,,,,
2019-08-15 17:00:00,Core-S,27.395469547222223,,,,
2019-08-15 18:00:00,Core-S,28.31408868781814,,,,
2019-08-15 19:00:00,Core-S,25.919129488472226,,,,
2019-08-15 20:00:00,Core-S,24.180369091111118,,,,
2019-08-15 21:00:00,Core-S,22.925652073055556,,,,
2019-08-15 22:00:00,Core-S,24.386572641388888,,,,
2019-08-15 23:00:00,Core-S,25.061293533333338,,,,
2019-08-16 00:00:00,Core-W,25.429142716666664,0.028005384278878664,0.0005625897623096124,0.1026855395929586,
2019-08-16 01:00:00,Core-W,22.443361458055556,0.06266952317454297,,0.10353016552846436,
2019-08-16 02:00:00,Core-W,20.525309259444448,0.09976289577828422,,0.10435406150088242,
2019-08-16 03:00:00,Core-W,19.947241169861105,0.09682646366918256,,0.10460554576487892,
2019-08-16 04:00:00,Core-W,19.2330468025,0.09896176249991875,,0.10476243558142813,
2019-08-16 05:00:00,Core-W,20.989293713472225,0.0016235850276586467,3.0743146758398465,0.10472178657661434,
2019-08-16 06:00:00,Core-W,19.64184586944445,,2.427728438272553,0.20117208595564287,
2019-08-16 07:00:00,Core-W,17.348766869027774,,4.851237614927312,0.7577257055514335,
2019-08-16 08:00:00,Core-W,22.270745514305563,,3.0191962177716545,0.0697839821693777,2.820372113538072
2019-08-16 09:00:00,Core-W,22.230173938888885,,4.2897765820452,,1.3849220405776654
2019-08-16 10:00:00,Core-W,22.532761554190937,,5.096491023677855,0.007135589296640429,4.9350622337793055
2019-08-16 11:00:00,Core-W,22.38097267763889,,5.199138666577833,,4.857209907124617
2019-08-16 12:00:00,Core-W,21.888335011805555,,5.069130703697715,,2.874209906520321
